"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"09/22/2017","AQS","48","","."
"09/23/2017","AQS","40","","."
"09/24/2017","AQS","49","","."
"09/25/2017","AQS","55","","."
"09/26/2017","AQS","43","","."
"09/27/2017","AQS","38","","."
"09/28/2017","AQS","40","","."
"09/29/2017","AQS","51","","."
"09/30/2017","AQS","43","","."
"10/01/2017","AQS","52","","."
"10/02/2017","AQS","60","","."
"10/03/2017","AQS","56","","."
"10/04/2017","AQS","55","","."
"10/05/2017","AQS","60","","."
"10/06/2017","AQS","65","","."
"10/07/2017","AQS","52","","."
"10/08/2017","AQS","29","","."
"10/09/2017","AQS","29","","."
"10/10/2017","AQS","37","","."
"10/11/2017","AQS","38","","."
"10/12/2017","AQS","28","","."
"10/13/2017","AQS","40","","."
"10/14/2017","AQS","47","","."
"10/15/2017","AQS","53","","."
"10/16/2017","AQS","35","","."
"10/17/2017","AQS","52","","."
"10/18/2017","AQS","54","","."
"10/19/2017","AQS","60","","."
"10/20/2017","AQS","61","","."
"10/21/2017","AQS","67","","."
"10/22/2017","AQS","61","","."
"10/23/2017","AQS","52","","."
"10/24/2017","AQS","40","","."
"10/25/2017","AQS","49","","."
"10/26/2017","AQS","55","","."
"10/27/2017","AQS","64","","."
"10/28/2017","AQS","55","","."
"10/29/2017","AQS","30","","."
"10/30/2017","AQS","54","","."
"10/31/2017","AQS","56","","."
"11/01/2017","AQS","60","","."
"11/02/2017","AQS","61","","."
"11/03/2017","AQS","55","","."
"11/04/2017","AQS","55","","."
"11/05/2017","AQS","53","","."
"11/06/2017","AQS","57","","."
"11/07/2017","AQS","53","","."
"11/08/2017","AQS","58","","."
"11/09/2017","AQS","71","","."
"11/10/2017","AQS","54","","."
"11/11/2017","AQS","41","","."
"11/12/2017","AQS","65","","."
"11/13/2017","AQS","86","","."
"11/14/2017","AQS","70","","."
"11/15/2017","AQS","67","","."
"11/16/2017","AQS","54","","."
"11/17/2017","AQS","54","","."
"11/18/2017","AQS","61","","."
"11/19/2017","AQS","46","","."
"11/20/2017","AQS","58","","."
"11/21/2017","AQS","56","","."
"11/22/2017","AQS","54","","."
"11/23/2017","AQS","63","","."
"11/24/2017","AQS","73","","."
"11/25/2017","AQS","66","","."
"11/26/2017","AQS","46","","."
"11/27/2017","AQS","60","","."
"11/28/2017","AQS","52","","."
"11/29/2017","AQS","52","","."
"11/30/2017","AQS","45","","."
"12/01/2017","AQS","58","","."
"12/02/2017","AQS","66","","."
"12/03/2017","AQS","73","","."
"12/04/2017","AQS","88","","."
"12/05/2017","AQS","58","","."
"12/06/2017","AQS","37","","."
"12/07/2017","AQS","39","","."
"12/08/2017","AQS","53","","."
"12/09/2017","AQS","63","","."
"12/10/2017","AQS","57","","."
"12/11/2017","AQS","52","","."
"12/12/2017","AQS","51","","."
"12/13/2017","AQS","30","","."
"12/14/2017","AQS","43","","."
"12/15/2017","AQS","58","","."
"12/16/2017","AQS","60","","."
"12/17/2017","AQS","75","","."
"12/18/2017","AQS","71","","."
"12/19/2017","AQS","54","","."
"12/20/2017","AQS","56","","."
"12/21/2017","AQS","54","","."
"12/22/2017","AQS","54","","."
"12/23/2017","AQS","56","","."
"12/24/2017","AQS","45","","."
"12/25/2017","AQS","44","","."
"12/26/2017","AQS","42","","."
"12/27/2017","AQS","49","","."
"12/28/2017","AQS","54","","."
"12/29/2017","AQS","61","","."
"12/30/2017","AQS","72","","."
"12/31/2017","AQS","52","","."
